filename, BGalaxyPintoB, BlueBolt, CRS-CBS, FancyTigerB, KingKongB, Neo-Caridina, OETB, PandaB, RGalaxyPintoB, RacoonTigerB, ShadowMosura, TangerineTigerB, WhiteGoldenB
DSC_2059_MOV-80_jpg.rf.0005b0922d23fd8a63119a3b8dac53e1.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1
IMG_4910-MP4_1683077393-7793024-5_jpg.rf.000503c094f734647ed4882491214bef.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DSC_2060_MOV-104_jpg.rf.00032f9845bae13aeed669570df35de8.jpg, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1
IMG_4078-MP4_1683077104-9423275-32_jpg.rf.000fc7bdcc4bfe5962af990f4b7fb815.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
IMG_3160-MP4_1682968233-6467066-281_jpg.rf.00158b70b98eae1a07d306160d2443bb.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_3160-MP4_1682968227-1462255-86_jpg.rf.0014ce3185077d467113e45f06567e2f.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_3505-MP4_1682995476-9845202-1_jpg.rf.000a7630ff0454b0e764d3a46035360b.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
DSC_0146_MOV-267_jpg.rf.00175de3d3f038505bcbe0bff625f8d2.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_3160-MP4_1682968233-7047358-283_jpg.rf.001d5cf33ec6a1ddaed5129600fb68f0.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_4197-MP4_1682995498-2888718-1_jpg.rf.00375b04ed9c15ca8a861a357aa478b8.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DSC_0146_MOV-13_jpg.rf.0028c093cc79219d523d6362b1bc2140.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_4208_MP4-9_jpg.rf.003897332928781b1a7c25260e704d12.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DSC_0802_MOV-7_jpg.rf.003e3b53396cded361d0cb7efe62afbe.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
DSC_1939_MOV-174_jpg.rf.002781300d86b951ec2bc0282665e75e.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_3505-MP4_1682995476-9845202-1_jpg.rf.0026c81be965223926d11c0755d02de2.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
IMG_5100-MP4_1683077464-7550387-6_jpg.rf.003b3b72b8e5cab07681199b5209fa03.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
DSC_0745_JPG.rf.003d6aff5b23121b9ed7b41e72d6056d.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_3160-MP4_1682968233-4655972-276_jpg.rf.0007eb8141f62b6969492270b285f845.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_4158_MP4-24_jpg.rf.002c52575a1c477f88ff9877103ee98f.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_3091-MP4_1682968173-92087-62_jpg.rf.0023390330d6840612576ae96c30ba9f.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
DSC_1939_MOV-1719_jpg.rf.005ba7f0a442f22d25522cea0d867c5e.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DSC_2064_MOV-201_jpg.rf.0058663fa284e952af3c3a214811e144.jpg, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
IMG_3847-MOV_1683077043-029227-0_jpg.rf.00559912e6768a44ba65f3881d87e747.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
IMG_3160-MP4_1682968229-6057506-166_jpg.rf.006252087afd13da8a0f64754e3bf117.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DSC_0165_MOV-273_jpg.rf.0069ad3dbef2e150052d048b403c87dc.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DSC_1004_MOV-271_jpg.rf.00688aa60bcb84249e8c475ba418f3a9.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
IMG_5391_MP4-5_jpg.rf.006d0e1d779d6dd9bbe6f2562da10cd6.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DSC_1004_MOV-502_jpg.rf.0048827936f6d791ee2b5357c45ea54b.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
DSC_0439_MOV-116_jpg.rf.004ccec6ab064ea37b816c56d102a02d.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
DSC_1939_MOV-944_jpg.rf.007282210873923edd790818a49b6aab.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_3761-MP4_1682995483-0284781-6_jpg.rf.007319ab865f85de770b0344620c3ecf.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0
DSC_2064_MOV-108_jpg.rf.006c12518d47eb8a9c25d21d750ee668.jpg, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
IMG_3997_MP4-2_jpg.rf.006407bbbe1bc8ab4a69ac2da0eb09eb.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_3105-MP4_1682968179-1831865-138_jpg.rf.00331594f789df59252e8a5d06021b2a.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
IMG_3172-MP4_1682968244-8285918-97_jpg.rf.00559288f49cb2b85dee7d77a8809c8b.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
IMG_3160-MP4_1682968229-2312052-152_jpg.rf.003796a94ae38db7167ec6301527619b.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_4507-MOV_1683077251-9684508-5_jpg.rf.0025e6b7393298c8ccaa592263cfea5b.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
DSC_2060_MOV-656_jpg.rf.007d51c7c73721bebaeb3baad14f4f30.jpg, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1
IMG_4031-MP4_1682995487-5971208-5_jpg.rf.006f94ad97f48c06066ce7bcad99247c.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DSC_0146_MOV-67_jpg.rf.00793f6f9a4c501deff1b5cfefb4097e.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_3163-MP4_1683076985-014953-13_jpg.rf.00863e30aacd29e18aa3ff75d96ab42a.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
joined_video_bca23521a63a45ccbd0c4d60b92d8e2c-MP4_1683077628-7548378-23_jpg.rf.0079b5d99fc4e60f0a56cc26baa8ceb0.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
DSC_0801_MOV-130_jpg.rf.0093c2639a89c92cdd9980a8587164a9.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
IMG_4031-MP4_1683077091-6859236-21_jpg.rf.0087778846eaa7200af789845bdb9568.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DSC_1939_MOV-588_jpg.rf.007bdb1ca36aeac1a447a99778b4061f.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_3070-MOV_1682968138-0000587-169_jpg.rf.0066ad300dab9d2f0b80629e721df6d4.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
IMG_3105-MP4_1682968178-3672616-117_jpg.rf.008653af11714802a6ae0028a129bc01.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
IMG_3142-MOV_1682968202-5025654-91_jpg.rf.00742eaa64037ab19fa2034ef74500d8.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
DSC_0801_MOV-0_jpg.rf.0074b804cabb06f083746f995d4d25cb.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
IMG_3163-MP4_1682968235-2068093-33_jpg.rf.00968dccdbbbee4456e0bb8e5fce62ea.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
IMG_3070-MOV_1682968112-054957-39_jpg.rf.009715c90508fb84d7e460f5526a7e66.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
IMG_4234-MP4_1683077180-9394848-27_jpg.rf.0094ddc0cd60a602c21fc78a7e45004c.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DSC_1939_MOV-1676_jpg.rf.00733fdfead064c23213b2d11ef9845e.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_4234-MP4_1683077178-9796963-8_jpg.rf.008754e35a167a0a2fb970137b6fe5f4.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DSC_0146_MOV-228_jpg.rf.00ae3187ff65e0201355065b0874a2c2.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DSC_2059_MOV-90_jpg.rf.00b49f8c0f714d06bd6ea9b3d3c96842.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1
DSC_2065_MOV-186_jpg.rf.00b27b988871cf2e788e4f747d049db0.jpg, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
DSC_1939_MOV-740_jpg.rf.00bdc8818ce1f507cd678038b599b72a.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
